Andaman and Nicobar Islands | North and Middle Andaman | Green Zone
Meghalaya | South West Khasi Hills | Green Zone
Meghalaya | West Garo Hills | Green Zone
Mizoram | Aizawl | Green Zone
Mizoram | Kolasib | Green Zone
Mizoram | Lunglei | Green Zone
Mizoram | Saiha | Green Zone
Nagaland | Dimapur | Green Zone
Nagaland | Kohima | Green Zone
Nagaland | Mokokchung | Green Zone
Nagaland | Noklak | Green Zone
Nagaland | Phek | Green Zone
Nagaland | Wokha | Green Zone
Odisha | Angul | Green Zone
Odisha | Bhadrak | Red Zone
Odisha | Bargarh | Green Zone
Odisha | Cuttack | Green Zone
Odisha | Dhenkanal | Orange Zone
Odisha | Gajapati | Green Zone
Odisha | Jajpur | Red Zone
Odisha | Khordha | Orange Zone
Odisha | Kalahandi | Orange Zone
Odisha | Koraput | Orange Zone
Odisha | Malkangiri | Green Zone
Odisha | Nabarangpur | Green Zone
Odisha | Nayagarh | Green Zone
Odisha | Rayagada | Green Zone
Odisha | Subarnapur (Sonepur) | Green Zone
Puducherry | Karaikal | Green Zone
Puducherry | Pondicherry | Orange Zone
Punjab | Amritsar | Red Zone
Punjab | Bathinda | Green Zone
Punjab | Faridkot | Orange Zone
Punjab | Fazilka | Green Zone
Punjab | Hoshiarpur | Orange Zone
Punjab | Kapurthala | Orange Zone
Punjab | Mansa | Orange Zone
Punjab | Sri Muktsar Sahib | Orange Zone
Punjab | Patiala | Orange Zone
Punjab | Sahibzada Ajit Singh Nagar | Orange Zone
Punjab | Shahid Bhagat Singh Nagar | Orange Zone
Rajasthan | Ajmer | Red Zone
Rajasthan | Bikaner | Orange Zone
Rajasthan | Banswara | Red Zone
Rajasthan | Baran | Green Zone
Rajasthan | Bhilwara | Orange Zone
Rajasthan | Chittorgarh | Orange Zone
Rajasthan | Dholpur | Orange Zone
Rajasthan | Ganganagar | Green Zone
Rajasthan | Jhunjhunu | Orange Zone
Rajasthan | Jodhpur | Red Zone
Rajasthan | Jaisalmer | Orange Zone
Rajasthan | Karauli | Orange Zone
Rajasthan | Nagaur | Red Zone
Rajasthan | Pratapgarh | Green Zone
Rajasthan | Sikar | Orange Zone
Rajasthan | Sirohi | Green Zone
Rajasthan | Udaipur | Orange Zone
Sikkim | North Sikkim | Green Zone
Sikkim | West Sikkim | Green Zone
Tamil Nadu | Chengalpattu | Red Zone
Tamil Nadu | Coimbatore | Orange Zone
Tamil Nadu | Dharmapuri | Orange Zone
Tamil Nadu | Erode | Orange Zone
Tamil Nadu | Kancheepuram | Red Zone
Tamil Nadu | Karur | Orange Zone
Tamil Nadu | Madurai | Red Zone
Tamil Nadu | Nagapattinam | Orange Zone
Tamil Nadu | Namakkal | Red Zone
Tamil Nadu | Pudukkottai | Orange Zone
Tamil Nadu | Ranipet | Red Zone
Tamil Nadu | Sivaganga | Orange Zone
Tamil Nadu | Tirupur | Red Zone
Tamil Nadu | Theni | Orange Zone
Tamil Nadu | Thanjavur | Red Zone
Tamil Nadu | Tiruppattur | Orange Zone
Tamil Nadu | Tiruvarur | Red Zone
Tamil Nadu | Vellore | Red Zone
Tamil Nadu | Virudhunagar | Red Zone
Telangana | Komaram Bheem | Orange Zone
Telangana | Hyderabad | Red Zone
Telangana | Jangoan | Orange Zone
Telangana | Jogulamba Gadwal | Orange Zone
Telangana | Karimnagar | Orange Zone
Telangana | Mahabubabad | Green Zone
Telangana | Mancherial | Orange Zone
Telangana | Medchali | Red Zone
Telangana | Nalgonda | Orange Zone
Telangana | Nagarkurnool | Green Zone
Telangana | Nizamabad | Orange Zone
Telangana | Rajanna Sircilla | Orange Zone
Telangana | SangaReddy | Orange Zone
Telangana | Suryapet | Red Zone
Telangana | Wanaparthy | Green Zone
Telangana | Warangal (Rural) | Green Zone
Tripura | Dhalai | Green Zone
Tripura | Khowai | Green Zone
Tripura | Sepahijala | Green Zone
Tripura | Unokoti | Green Zone
Uttar Pradesh | Agra | Red Zone
Uttar Pradesh | Allahabad | Orange Zone
Uttar Pradesh | Amethi | Green Zone
Uttar Pradesh | Auraiya | Orange Zone
Uttar Pradesh | Bagpat | Orange Zone
Uttar Pradesh | Ballia | Green Zone
Uttar Pradesh | Banda | Orange Zone
Uttar Pradesh | Bareilly | Red Zone
Uttar Pradesh | Bhadohi | Orange Zone
Uttar Pradesh | Budaun | Orange Zone
Uttar Pradesh | Chandauli | Green Zone
Uttar Pradesh | Deoria | Green Zone
Uttar Pradesh | Etawah | Orange Zone
Uttar Pradesh | Farrukhabad | Green Zone
Uttar Pradesh | Firozabad | Red Zone
Uttar Pradesh | Ghaziabad | Orange Zone
Uttar Pradesh | Gonda | Orange Zone
Uttar Pradesh | Hamirpur | Green Zone
Uttar Pradesh | Hardoi | Orange Zone
Uttar Pradesh | Jalaun | Orange Zone
Uttar Pradesh | Jhansi | Orange Zone
Uttar Pradesh | Kanpur Dehat | Green Zone
Uttar Pradesh | Kasganj | Orange Zone
Uttar Pradesh | Kushinagar | Green Zone
Uttar Pradesh | Lalitpur | Green Zone
Uttar Pradesh | Maharajganj | Green Zone
Uttar Pradesh | Mainpuri | Orange Zone
Uttar Pradesh | Mau | Orange Zone
Uttar Pradesh | Mirzapur | Orange Zone
Uttar Pradesh | Muzaffarnagar | Red Zone
Uttar Pradesh | Rampur | Red Zone
Uttar Pradesh | Sambhal | Orange Zone
Uttar Pradesh | Shahjahanpur | Green Zone
Uttar Pradesh | Shravasti | Orange Zone
Uttar Pradesh | Sitapur | Orange Zone
Uttar Pradesh | Sultanpur | Orange Zone
Uttar Pradesh | Varanasi | Red Zone
Uttarakhand | Bageshwar | Green Zone
Uttarakhand | Champawat | Green Zone
Uttarakhand | Haridwar | Red Zone
Uttarakhand | Pauri | Green Zone
Uttarakhand | Rudraprayag | Green Zone
Uttarakhand | Udham Singh Nagar | Green Zone
West Bengal | Alipurduar | Green Zone
West Bengal | Paschim Bardhaman | Orange Zone
West Bengal | Birbhum | Green Zone
West Bengal | Dakshin Dinajpur | Green Zone
West Bengal | Hooghly | Orange Zone
West Bengal | Jalpaiguri | Red Zone
West Bengal | Kalimpong | Red Zone
West Bengal | Maldah | Red Zone
West Bengal | Nadia | Orange Zone
West Bengal | Paschim Medinipur | Red Zone
West Bengal | Purulia | Green Zone
West Bengal | Uttar Dinajpur | Green Zone
